label,id,timestamp,ble_id,place,proxi,detector,batt
8-303,395493708,1716276096,15158,8-302,79.4328,0,0
8-303,395493719,1716276102,15155,8-303,2.51189,1,0
8-303,395493722,1716276102,15155,8-303,10.0,0,0
8-303,395493723,1716276102,15159,8-303,17.7828,0,0
8-303,395493724,1716276102,15155,8-302,12.5893,1,0
8-303,395493726,1716276103,15155,8-303,8.91251,2,0
8-303,395493727,1716276103,15158,8-303,0.891251,2,0
8-303,395493729,1716276104,15158,8-303,7.94328,0,0
8-303,395493733,1716276107,15164,8-302,12.5893,1,0
8-303,395493735,1716276108,15164,8-303,2.81838,2,0
8-303,395493738,1716276108,15164,8-320,50.1187,1,0
8-303,395493742,1716276110,15159,8-303,15.8489,2,0
8-303,395493744,1716276110,15155,8-320,89.1251,0,0
8-303,395493747,1716276111,15155,8-303,2.51189,1,0
8-303,395493749,1716276111,15159,8-303,17.7828,0,0
8-303,395493750,1716276111,15159,8-302,50.1187,1,0
8-303,395493759,1716276115,15164,8-303,56.2341,0,0
8-303,395493760,1716276115,15164,8-303,5.62341,1,0
8-303,395493761,1716276115,15164,8-302,8.91251,1,0
8-303,395493762,1716276116,15164,8-303,2.81838,2,0
8-303,395493766,1716276119,15159,8-303,11.2202,2,0
8-303,395493767,1716276119,15155,8-320,79.4328,0,0
8-303,395493768,1716276119,15155,8-320,14.1254,1,0
8-303,395493769,1716276119,15155,8-303,7.94328,1,0
8-303,395493770,1716276119,15158,8-303,6.30957,1,0
