label,id,timestamp,ble_id,place,proxi,detector,batt
8-303,399275511,1717578506,15162,8-302,5.62341,1,0
8-303,399275512,1717578506,15155,8-303,14.1254,0,0
8-303,399275513,1717578506,15162,8-303,12.5893,0,0
8-303,399275515,1717578506,15162,8-302,19.9526,0,0
8-303,399275516,1717578506,15162,8-322,0.891251,1,0
8-303,399275518,1717578506,15159,8-303,50.1187,1,2885
8-303,399275519,1717578506,15162,8-303,6.30957,1,0
8-303,399275521,1717578507,15163,8-322,50.1187,0,0
8-303,399275524,1717578508,15163,8-302,22.3872,1,0
8-303,399275525,1717578508,15163,8-302,63.0957,0,0
8-303,399275530,1717578509,15164,8-322,35.4813,0,0
8-303,399275532,1717578510,15164,8-302,3.98107,1,0
8-303,399275534,1717578510,15164,8-303,7.94328,0,0
